Degrees and Certificates Awarded by Curriculum Area,
DimYear,InstTypeList,InstList,MajorTypeDesc,LevelGroupDesc,CIPGroupDesc,CIPDesc,Count,
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","12 - Personal and Culinary Services","12050300 - Culinary Arts/Chef Training","3",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","13 - Education","13050100 - Educational/Instructional Technology","5",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","15 - Engineering Technologies and Engineering-Related Fields","15030300 - Electrical, Electronic and Communications Engineering Technology/Technician","6",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","15 - Engineering Technologies and Engineering-Related Fields","15030400 - Laser and Optical Technology/Technician","13",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","15 - Engineering Technologies and Engineering-Related Fields","15030500 - Telecommunications Technology/Technician","5",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","15 - Engineering Technologies and Engineering-Related Fields","15040100 - Biomedical Technology/Technician","68",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","15 - Engineering Technologies and Engineering-Related Fields","15040300 - Electromechanical Technology/Electromechanical Engineering Technology","68",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","15 - Engineering Technologies and Engineering-Related Fields","15040400 - Instrumentation Technology/Technician","73",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","15 - Engineering Technologies and Engineering-Related Fields","15040500 - Robotics Technology/Technician","4",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","15 - Engineering Technologies and Engineering-Related Fields","15050100 - Heating, Ventilation , Air Conditioning and Refrigeration Technology/Technician","10",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","15 - Engineering Technologies and Engineering-Related Fields","15080500 - Mechanical Engineering/Mechanical Technology/Technician","15",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","15 - Engineering Technologies and Engineering-Related Fields","15120200 - Computer Technology/Computer Systems Technology","30",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","15 - Engineering Technologies and Engineering-Related Fields","15130100 - Drafting and Design Technology/Technician, General","15",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","41 - Science Technologies/Technicians","41030100 - Chemical Technology/Technician","2",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","46 - Construction Trades","46000000 - Construction Trades, General","7",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","47 - Mechanic and Repair Technologies/Technicians","47060300 - Autobody/Collision and Repair Technology/Technician","13",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","47 - Mechanic and Repair Technologies/Technicians","47060400 - Automobile/Automotive Mechanics Technology/Technician","26",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","47 - Mechanic and Repair Technologies/Technicians","47060500 - Diesel Mechanics Technology/Technician","56",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","47 - Mechanic and Repair Technologies/Technicians","47060700 - Airframe Mechanics and Aircraft Maintenance Technology/Technician","14",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","47 - Mechanic and Repair Technologies/Technicians","47060800 - Aircraft Powerplant Technology/Technician","10",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Associate","48 - Precision Production","48050800 - Welding Technology/Welder","35",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Certificate","15 - Engineering Technologies and Engineering-Related Fields","15030500 - Telecommunications Technology/Technician","1",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Certificate","15 - Engineering Technologies and Engineering-Related Fields","15050100 - Heating, Ventilation , Air Conditioning and Refrigeration Technology/Technician","11",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Certificate","15 - Engineering Technologies and Engineering-Related Fields","15120200 - Computer Technology/Computer Systems Technology","17",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Certificate","15 - Engineering Technologies and Engineering-Related Fields","15130100 - Drafting and Design Technology/Technician, General","1",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Certificate","47 - Mechanic and Repair Technologies/Technicians","47060300 - Autobody/Collision and Repair Technology/Technician","24",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Certificate","47 - Mechanic and Repair Technologies/Technicians","47060400 - Automobile/Automotive Mechanics Technology/Technician","7",
"2014","Texas State Technical Colleges","Texas State Technical College in Waco","Tech-Prep","Certificate","47 - Mechanic and Repair Technologies/Technicians","47060500 - Diesel Mechanics Technology/Technician","42",
"2014","Texas State Technical Colleges","Texas State Technical College in West Texas","Technical","Associate","01 - Agriculture, Agriculture Operations, and Related Sciences","01010100 - Agricultural Business and Management, General","2",
"2014","Texas State Technical Colleges","Texas State Technical College in West Texas","Technical","Associate","11 - Computer and Information Sciences and Support Services","11020100 - Computer Programming/Programmer, General","7",
"2014","Texas State Technical Colleges","Texas State Technical College in West Texas","Technical","Associate","11 - Computer and Information Sciences and Support Services","11090100 - Computer Systems Networking and Telecommunications","29",
"2014","Texas State Technical Colleges","Texas State Technical College in West Texas","Technical","Associate","12 - Personal and Culinary Services","12050300 - Culinary Arts/Chef Training","9",
"2014","Texas State Technical Colleges","Texas State Technical College in West Texas","Technical","Associate","15 - Engineering Technologies and Engineering-Related Fields","15040300 - Electromechanical Technology/Electromechanical Engineering Technology","19",
"2014","Texas State Technical Colleges","Texas State Technical College in West Texas","Technical","Associate","15 - Engineering Technologies and Engineering-Related Fields","15040500 - Robotics Technology/Technician","4",
"2014","Texas State Technical Colleges","Texas State Technical College in West Texas","Technical","Associate","15 - Engineering Technologies and Engineering-Related Fields","15050100 - Heating, Ventilation , Air Conditioning and Refrigeration Technology/Technician","4",
