Degrees and Certificates Awarded by Curriculum Area,
DimYear,InstTypeList,InstList,MajorTypeDesc,LevelGroupDesc,CIPGroupDesc,CIPDesc,Count,
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Technical","Certificate","47 - Mechanic and Repair Technologies/Technicians","47020100 - Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technicia","31",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Technical","Certificate","47 - Mechanic and Repair Technologies/Technicians","47060400 - Automobile/Automotive Mechanics Technology/Technician","31",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Technical","Certificate","50 - Visual and Performing Arts","50090300 - Music Performance, General","1",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Technical","Certificate","51 - Health Professions and Related Programs","51071600 - Medical Administrative/Executive Assistant and Medical Secretary","20",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Tech-Prep","Associate","15 - Engineering Technologies and Engineering-Related Fields","15030300 - Electrical, Electronic and Communications Engineering Technology/Technician","13",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Tech-Prep","Associate","41 - Science Technologies/Technicians","41030100 - Chemical Technology/Technician","22",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Tech-Prep","Associate","47 - Mechanic and Repair Technologies/Technicians","47020100 - Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technicia","4",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Tech-Prep","Associate","47 - Mechanic and Repair Technologies/Technicians","47060400 - Automobile/Automotive Mechanics Technology/Technician","7",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Tech-Prep","Associate","51 - Health Professions and Related Programs","51071600 - Medical Administrative/Executive Assistant and Medical Secretary","19",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Tech-Prep","Associate","52 - Business, Management, Marketing and Related Support Services","52040100 - Administrative Assistant and Secretarial Science, General","4",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Tech-Prep","Certificate","41 - Science Technologies/Technicians","41030100 - Chemical Technology/Technician","22",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Tech-Prep","Certificate","51 - Health Professions and Related Programs","51090900 - Surgical Technology/Technologist","9",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Tech-Prep","Certificate","51 - Health Professions and Related Programs","51390100 - Licensed Practical/Vocational Nurse Training","55",
"2014","Lamar State Colleges","Lamar State College-Port Arthur","Tech-Prep","Certificate","52 - Business, Management, Marketing and Related Support Services","52040100 - Administrative Assistant and Secretarial Science, General","9",
"2015","Lamar State Colleges","Lamar Institute of Technology","Technical","Associate","11 - Computer and Information Sciences and Support Services","11010100 - Computer and Information Sciences, General","3",
"2015","Lamar State Colleges","Lamar Institute of Technology","Technical","Associate","15 - Engineering Technologies and Engineering-Related Fields","15070100 - Occupational Safety and Health Technology/Technician","12",
"2015","Lamar State Colleges","Lamar Institute of Technology","Technical","Associate","15 - Engineering Technologies and Engineering-Related Fields","15100100 - Construction Engineering Technology/Technician","3",
"2015","Lamar State Colleges","Lamar Institute of Technology","Technical","Associate","19 - Family and Consumer Sciences/Human Sciences","19070900 - Child Care Provider/Assistant","8",
"2015","Lamar State Colleges","Lamar Institute of Technology","Technical","Associate","51 - Health Professions and Related Programs","51060200 - Dental Hygiene/Hygienist","28",
"2015","Lamar State Colleges","Lamar Institute of Technology","Technical","Associate","51 - Health Professions and Related Programs","51090400 - Emergency Medical Technology/Technician (EMT Paramedic)","1",
"2015","Lamar State Colleges","Lamar Institute of Technology","Technical","Associate","51 - Health Professions and Related Programs","51091000 - Diagnostic Medical Sonography/Sonographer and Ultrasound Technician","16",
"2015","Lamar State Colleges","Lamar Institute of Technology","Technical","Associate","52 - Business, Management, Marketing and Related Support Services","52150100 - Real Estate","3",
"2015","Lamar State Colleges","Lamar Institute of Technology","Technical","Certificate","11 - Computer and Information Sciences and Support Services","11010100 - Computer and Information Sciences, General","3",
"2015","Lamar State Colleges","Lamar Institute of Technology","Technical","Certificate","15 - Engineering Technologies and Engineering-Related Fields","15070100 - Occupational Safety and Health Technology/Technician","3",
"2015","Lamar State Colleges","Lamar Institute of Technology","Technical","Certificate","43 - Homeland Security, Law Enforcement, Firefighting and Related Protective Services","43010700 - Criminal Justice/Police Science","30",
"2015","Lamar State Colleges","Lamar Institute of Technology","Technical","Certificate","43 - Homeland Security, Law Enforcement, Firefighting and Related Protective Services","43020300 - Fire Science/Firefighting","31",
"2015","Lamar State Colleges","Lamar Institute of Technology","Technical","Certificate","46 - Construction Trades","46030300 - Lineworker","2",
"2015","Lamar State Colleges","Lamar Institute of Technology","Technical","Certificate","51 - Health Professions and Related Programs","51090400 - Emergency Medical Technology/Technician (EMT Paramedic)","7",
"2015","Lamar State Colleges","Lamar Institute of Technology","Technical","Certificate","52 - Business, Management, Marketing and Related Support Services","52150100 - Real Estate","4",
"2015","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","11 - Computer and Information Sciences and Support Services","11010100 - Computer and Information Sciences, General","6",
"2015","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","12 - Personal and Culinary Services","12050800 - Institutional Food Workers","2",
"2015","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","15 - Engineering Technologies and Engineering-Related Fields","15040400 - Instrumentation Technology/Technician","64",
"2015","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","15 - Engineering Technologies and Engineering-Related Fields","15050100 - Heating, Ventilation , Air Conditioning and Refrigeration Technology/Technician","7",
"2015","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","15 - Engineering Technologies and Engineering-Related Fields","15120200 - Computer Technology/Computer Systems Technology","13",
"2015","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","15 - Engineering Technologies and Engineering-Related Fields","15130100 - Drafting and Design Technology/Technician, General","26",
"2015","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","41 - Science Technologies/Technicians","41030100 - Chemical Technology/Technician","74",
"2015","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","43 - Homeland Security, Law Enforcement, Firefighting and Related Protective Services","43010700 - Criminal Justice/Police Science","8",
"2015","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","44 - Public Administration and Social Service Professions","44040100 - Public Administration","6",
"2015","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","47 - Mechanic and Repair Technologies/Technicians","47030300 - Industrial Mechanics and Maintenance Technology","7",
"2015","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","47 - Mechanic and Repair Technologies/Technicians","47060500 - Diesel Mechanics Technology/Technician","4",
"2015","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","48 - Precision Production","48050800 - Welding Technology/Welder","6",
"2015","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","51 - Health Professions and Related Programs","51070700 - Health Information/Medical Records Technology/Technician","11",
"2015","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","51 - Health Professions and Related Programs","51090800 - Respiratory Care Therapy/Therapist","11",
"2015","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","51 - Health Professions and Related Programs","51091100 - Radiologic Technology/Science - Radiographer","19",
"2015","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","52 - Business, Management, Marketing and Related Support Services","52020100 - Business Administration and Management, General","15",
"2015","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","52 - Business, Management, Marketing and Related Support Services","52030200 - Accounting Technology/Technician and Bookkeeping","9",
"2015","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Associate","52 - Business, Management, Marketing and Related Support Services","52040100 - Administrative Assistant and Secretarial Science, General","7",
"2015","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Certificate","11 - Computer and Information Sciences and Support Services","11010100 - Computer and Information Sciences, General","2",
"2015","Lamar State Colleges","Lamar Institute of Technology","Tech-Prep","Certificate","12 - Personal and Culinary Services","12050800 - Institutional Food Workers","1",
